scores	doc_id	relevant	text
0.58300656	486	yes	"similarity laws for aerothermoelastic testing .
  the similarity laws for aerothermoelastic testing are presented
in the range .  these are obtained by
making nondimensional the appropriate governing equations of
the individual external aerodynamic flow, heat conduction to
the interior, and stress-deflection problems which make up the
combined aerothermoelastic problem .
  for the general aerothermoelastic model, where the model is
placed in a high-stagnation-temperature wind tunnel, similitude
is shown to be very difficult to achieve for a scale ratio other
than unity .  the primary conflict occurs between the
free-stream mach number reynolds number aeroelastic
parameter heat conduction parameter and
thermal expansion parameter .
  means of dealing with this basic conflict are presented .  these
include (1) looking at more specialized situations, such as the
behavior of wing structures and of thin solid plate lifting surfaces,
and panel flutter, where the aerothermoelastic similarity
parameters assume less restrictive forms, (2) the use of /incomplete
aerothermoelastic/ testing in which the pressure and/or heating
rates are estimated in advance and applied artificially to the
model, and (3) the use of /restricted purpose/ models
investigating separately one or another facet of the complete
aerothermoelastic problem .
  some numerical examples of modeling for the general
aerothermoelastic case as well as for the specialized situations
mentioned in (1) above are given .
  finally, extension of the aerothermoelastic similarity laws to
higher speeds and temperatures is discussed ."
0.71470934	184	yes	"scale models for thermo-aeroelastic research .
  an investigation is made of the
parameters to be satisfied for
thermo-aeroelastic similarity .  it is concluded
that complete similarity obtains
only when aircraft and model are identical
in all respects, including size .
  by limiting consideration to
conduction effects, by assuming the major
load carrying parts of the structure
are in regions where the flow is either
entirely laminar, or entirely turbulent,
and by assuming a specific
relationship between reynolds number and nusselt
number, an approach to similarity can
be achieved for small scale models .
experimental and analytical work is
required to check on the validity of these assumptions .
  it appears that existing hot wind
tunnels will not be completely
adequate for thermo-aeroelastic work, and
accordingly a possible layout for
the type of tunnel required is described .
automatic programmed control of
the tunnel would appear to be necessary ."
0.77215147	13	yes	"similarity laws for stressing heated wings .
  it will be shown that the differential equations for a heated
plate with large temperature gradient and for a similar plate at
constant temperature can be made the same by a proper
modification of the thickness and the loading for the isothermal plate .
this fact leads to the result that the stresses in the heated plate
can be calculated from measured strains on the unheated plate by
a series of relations, called the /similarity laws ./  the
application of this analog theory to solid wings under aerodynamic
heating is discussed in detail .  the loading on the unheated analog
wing is, however, complicated and involves the novel concept
of feedback and /body force/ loading .  the problem of stressing
a heated box-wing structure can be solved by the same analog
method and is briefly discussed ."
0.77750343	51	yes	"theory of aircraft structural models subjected to aerodynamic
heating and external loads .
  the problem of investigating the simultaneous effects of transient
aerodynamic heating and external loads on aircraft structures for the
purpose of determining the ability of the structure to withstand flight
to supersonic speeds is studied .  by dimensional analyses it is shown
that ..
constructed of the same materials as the aircraft will be thermally
similar to the aircraft with respect to
the flow of heat through the structure
will be similar to those of the aircraft when the structural model is
constructed at the same temperature as the aircraft .
external loads will be similar to those of the aircraft .
subjected to heating and cooling that correctly simulate the aerodynamic
heating of the aircraft, except with respect to angular velocities and
angular accelerations, without requiring determination of the heat flux
at each point on the surface and its variation with time .
acting on the aerodynamically heated structural model to those acting
on the aircraft is determined for the case of zero angular velocity and
zero angular acceleration, so that the structural model may be subjected
to the external loads required for simultaneous simulation of stresses
and deformations due to external loads ."
0.79867524	12	yes	"some structural and aerelastic considerations of high
speed flight .
  the dominating factors in structural design of high-speed
aircraft are thermal and aeroelastic in origin .  the subject
matter is concerned largely with a discussion of these factors and
their interrelation with one another .  a summary is presented
of some of the analytical and experimental tools available to
aeronautical engineers to meet the demands of high-speed flight
upon aircraft structures .  the state of the art with respect to
heat transfer from the boundary layer into the structure, modes
of failure under combined load as well as thermal inputs and
acrothermoelasticity is discussed .  methods of attacking and
alleviating structural and aeroelastic problems of high-speed
flight are summarized .  finally, some avenues of fundamental
research are suggested ."
0.8659326	746	no	"aeroelastic problems in connection with high speed
flight .
  a review is given of developments
in the field of aeroelasticity during the
past ten years .  the effect of steadily increasing
mach number has been two-fold ..  on
the one hand the aerodynamic derivatives have
changed, and in some cases brought new
problems, and on the other hand the design for
higher mach numbers has led to thinner
aerofoils and more slender fuselages for which
the required stiffness is more difficult to
provide .  both these aspects are discussed,
and various methods of attack on the
problems are considered .  the relative merits
of stiffness, damping and massbalance
for the prevention of control surface flutter are
discussed .  a brief mention is made of
the recent problems of damage from jet efflux
and of the possible aeroelastic effects
of kinetic heating ."
0.9063819	606	no	"formulae and approximations for aerodynamic heating rates in high speed
flight .
this note gives formulae and approximations suitable for making
preliminary estimates of aerodynamic heating rates in high speed flight .
the formulae are based on the /intermediate enthalpy/ approximation
which has given good agreement with theoretical and experimental
evidence . in the general flight case they could be used in conjunction with
 an analogue computer or a step-by-step method of integration to
predict the variations of heat flow and skin temperature with time .
in the restricted case of flight at constant altitude and mach number,
simple analytical methods and results are given which include the
effects of radiation and can be applied to /thick/ as well as /thin/ skins
where h is the aerodynamic heat transfer factor, and g, d and k are the
heat capacity, thickness and thermal conductivity of the skin . if 0.1
the skin is approximately /thin/, i.e. temperature gradients across its
thickness may be neglected ."
0.93221617	860	no	"test of an aerodynamically heated multi-- web wing
structure (mw-1) in a free jet at mach number 2.
  a multiweb wing structure, representing an airplane or missile wing,
was tested under simulated supersonic flight conditions to determine the
transient temperature distribution .  the aerodynamic loads played an
important and unanticipated role, however, in that the model experienced
a dynamic failure near the end of the test .  the test is discussed and
the conclusion reached that the model failed as a result of the combined
action of aerodynamic heating and loading .  the temperature data
collected are analyzed and are shown to be in reasonable agreement with
calculated values ."
0.9719181	102	yes	"advantages and limitations of models .
summary ..  the use of models for structural test investigations in the
presence of kinetic heating effects is examined .  the principal
features of the complex process to be
represented are discussed under the classifications
external air flow, internal heat transfer,
elastic response .  of these the second is found
to influence most model design, and an
analysis of a typical structure is included to
illustrate the various contributions to
internal heat transfer ."
0.97596925	875	yes	"models for aeroelastic investigation .
  this addendum provides a short note on two aspects omitted from the
original paper, viz. gravitational effects and structural damping .  a
short list of references to earlier papers dealing with the subject is
also added ."
